CE,,,,,,Go to B2C Cart Page,,,,,Via buy page,13,14,1500.00%,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,,,,136
Assigned,Test Case,,,,,,,,,,57,Price,,Step >>,Step >>,Verify >>,Step >>,,Verify >>,Step >>,,,,,,,Step >>,,Special >>,Step >>,Verify >>,Verify >>,Mass premiums,,,,,Campaign,,,618,B2C,,Total,Verify >>,,Cart Page Result >>,,,Step >>,Step >>,Verify >>,Step >>,Verify >>,Verify >>,Verify >>,Checkout Page Result >> END OF TEST,,,,,,,,Automated Tests by UI Visions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated Test Result,Test duration (s),,Auto Cart,Last Updated,,,,,
Tester,ID,Auto Cart,Premiunm Qty,Manual Cart,Price Status,Model,FAMILY,Active,SKU,Link,SKU + Link,RRP,NRP,%,discount,Verify Price before Discount,Trade-up,Trade-up-discount,Verify trade-up discount,"Trade-in a smartphone 
(on cart page)",Trade-in-coupon,,,,,,Add Promo Code 1,Add Promo Code 2,Special discount after adding to cart,Add to Cart,Verify Product Price in Cart after Discount (Not total price in cart),Verify pre-order or back-order delivery date,Mass,Mass,Mass,Mass,Mass,Special July,Warrenty,"Trade-in
,CTV25-QN-30,,,,inStock,"43"" QLED Q8FA (2025)",,N,QA43Q8FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q8f-43-inch-qled-4k-smart-tv-qa43q8faajxzk/?R=20250630225213,QA43Q8FAAJXZK,"6,480","6,180",4.63%,300,"6,180",No,0,0,,,,,,,,,,,Add to Cart,"6,180.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-31,,,,Unavailable,"43"" QLED Q8F4 (2025)",,UN,QA43Q8F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/q8f-43-inch-qled-4k-smart-tv-qa43q8f4ajxzk/?R=20250630225213,QA43Q8F4AJXZK,"6,480","6,180",4.63%,300,"6,180",No,0,0,,,,,,,,,,,Add to Cart,"6,180.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-32,,,,inStock,"50"" QLED QEF1 (2025)",,N,QA50QEF1AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-50-inch-qled-4k-smart-tv-qa50qef1ajxzk/?R=20250630225213,QA50QEF1AJXZK,"5,780","5,780",0.00%,0,"5,780",No,0,0,,,,,,,,,,,Add to Cart,"5,780.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-33,,,,inStock,"43"" QLED QEF1 (2025)",,N,QA43QEF1AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-43-inch-qled-4k-smart-tv-qa43qef1ajxzk/?R=20250630225213,QA43QEF1AJXZK,"4,980","4,980",0.00%,0,"4,980",No,0,0,,,,,,,,,,,Add to Cart,"4,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-34,,,,Unavailable,"55"" QLED Q7F4 (2025)",,UN,QA55Q7F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-55-inch-qled-4k-smart-tv-qa55q7f4ajxzk/?R=20250630225213,QA55Q7F4AJXZK,"7,280","7,280",0.00%,0,"7,280",No,0,0,,,,,,,,,,,Add to Cart,"7,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-35,,,,Unavailable,"50"" QLED Q7F4 (2025)",,UN,QA50Q7F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-50-inch-qled-4k-smart-tv-qa50q7f4ajxzk/?R=20250630225213,QA50Q7F4AJXZK,"6,280","6,280",0.00%,0,"6,280",No,0,0,,,,,,,,,,,Add to Cart,"6,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-36,,,,Unavailable,"43"" QLED Q7F4 (2025)",,UN,QA43Q7F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-43-inch-qled-4k-smart-tv-qa43q7f4ajxzk/?R=20250630225213,QA43Q7F4AJXZK,"5,280","5,280",0.00%,0,"5,280",No,0,0,,,,,,,,,,,Add to Cart,"5,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-37,,,,inStock,"75"" QLED Q7FA (2025)",,N,QA75Q7FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q7f-75-inch-qled-4k-smart-tv-qa75q7faajxzk/?R=20250630225213,QA75Q7FAAJXZK,"13,980","13,980",0.00%,0,"13,980",No,0,0,,,,,,,,,,,Add to Cart,"13,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-38,,,,inStock,"55"" QLED Q7FA (2025)",,N,QA55Q7FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qa55q7faajxzk/?R=20250630225213,QA55Q7FAAJXZK,"7,280","7,280",0.00%,0,"7,280",No,0,0,,,,,,,,,,,Add to Cart,"7,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-39,,,,inStock,"50"" QLED Q7FA (2025)",,N,QA50Q7FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q7f-50-inch-qled-4k-smart-tv-qa50q7faajxzk/?R=20250630225213,QA50Q7FAAJXZK,"6,280","6,280",0.00%,0,"6,280",No,0,0,,,,,,,,,,,Add to Cart,"6,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-40,,,,inStock,"43"" QLED Q7FA (2025)",,N,QA43Q7FAAJXZK,https://www.samsung.com/hk/tvs/qled-tv/q7f-43-inch-qled-4k-smart-tv-qa43q7faajxzk/?R=20250630225213,QA43Q7FAAJXZK,"5,280","5,280",0.00%,0,"5,280",No,0,0,,,,,,,,,,,Add to Cart,"5,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-41,,,,Unavailable,"55"" QLED Q7F4 (2025)",,UN,QA55Q7F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-55-inch-qled-4k-smart-tv-qa55q7f4ajxzk/?R=20250630225213,QA55Q7F4AJXZK,"7,280","7,280",0.00%,0,"7,280",No,0,0,,,,,,,,,,,Add to Cart,"7,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-42,,,,Unavailable,"50"" QLED Q7F4 (2025)",,UN,QA50Q7F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-50-inch-qled-4k-smart-tv-qa50q7f4ajxzk/?R=20250630225213,QA50Q7F4AJXZK,"6,280","6,280",0.00%,0,"6,280",No,0,0,,,,,,,,,,,Add to Cart,"6,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-QN-43,,,,Unavailable,"43"" QLED Q7F4 (2025)",,UN,QA43Q7F4AJXZK,https://www.samsung.com/hk/tvs/qled-tv/qef1-43-inch-qled-4k-smart-tv-qa43q7f4ajxzk/?R=20250630225213,QA43Q7F4AJXZK,"5,280","5,280",0.00%,0,"5,280",No,0,0,,,,,,,,,,,Add to Cart,"5,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-U-01,,,,inStock,"75"" UHD 8500 (2025)",,N,UA75U8500FJXZK,https://www.samsung.com/hk/tvs/uhd-4k-tv/u8500f-75-inch-crystal-uhd-4k-smart-tv-ua75u8500fjxzk/?R=20250630225213,UA75U8500FJXZK,"10,980","9,980",9.11%,"1,000","9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-U-02,,,,inStock,"65"" UHD 8500 (2025)",,N,UA65U8500FJXZK,https://www.samsung.com/hk/tvs/uhd-4k-tv/u8500f-65-inch-crystal-uhd-4k-smart-tv-ua65u8500fjxzk/?R=20250630225213,UA65U8500FJXZK,"9,480","9,480",0.00%,0,"9,480",No,0,0,,,,,,,,,,,Add to Cart,"9,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-U-03,,,,inStock,"55"" UHD 8500 (2025)",,N,UA55U8500FJXZK,https://www.samsung.com/hk/tvs/uhd-4k-tv/u8500f-55-inch-crystal-uhd-4k-smart-tv-ua55u8500fjxzk/?R=20250630225213,UA55U8500FJXZK,"5,680","5,680",0.00%,0,"5,680",No,0,0,,,,,,,,,,,Add to Cart,"5,680.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-U-04,,,,inStock,"50"" UHD 8500 (2025)",,N,UA50U8500FJXZK,https://www.samsung.com/hk/tvs/uhd-4k-tv/u8500f-50-inch-crystal-uhd-4k-smart-tv-ua50u8500fjxzk/?R=20250630225213,UA50U8500FJXZK,"4,980","4,980",0.00%,0,"4,980",No,0,0,,,,,,,,,,,Add to Cart,"4,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-U-05,,,,Unavailable,"43"" UHD 8500 (2025)",,UN,UA43U8500FJXZK,https://www.samsung.com?R=20250630225213,UA43U8500FJXZK,"4,180","4,180",0.00%,0,"4,180",No,0,0,,,,,,,,,,,Add to Cart,"4,180.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,CTV25-H-01,,,,Unavailable,"32"" HD 5000 (2025)",,UN,UA32H5000FJXZK,https://www.samsung.com/hk/tvs/hd-tv/h5000-32-inch-ua32h5000fjxzk/?R=20250630225213,UA32H5000FJXZK,"2,180","1,980",9.17%,200,"1,980",No,0,0,,,,,,,,,,,Add to Cart,"1,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,PRO,,,,,,,-,,,,0,0,0.00%,0,0,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,PRO-01,,,,Unavailable,The Freestyle 2nd Gen,,UN,SP-LFF3CLAXXZK,https://www.samsung.com/hk/projectors/the-freestyle/lff3c-the-freestyle-2nd-gen-sp-lff3claxxzk/?R=20250630225213,SP-LFF3CLAXXZK,"6,980",,100.00%,"6,980","6,980",No,0,0,,,,,,,,,,,Add to Cart,"6,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,PRO-02,,,,inStock,"130"" LPU9D The Premiere 4K Smart Triple Laser Projector (2024)",,EOL,SP-LPU9DSAXXZK,https://www.samsung.com/hk/projectors/the-premiere/lpu9d-smart-4k-uhd-ultra-short-throw-triple-laser-projector-lpu9d-sp-lpu9dsaxxzk/?R=20250630225213,SP-LPU9DSAXXZK,"59,980",,100.00%,"59,980","59,980",No,0,0,,,,,,,,,,,Add to Cart,"59,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS,,,,,,,-,,,,0,0,0.00%,0,0,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-01,,,,inStock,C-Series HW-C450 2.1ch Soundbar,,N,HW-C450/ZK,https://www.samsung.com/hk/audio-devices/soundbar/c450-black-hw-c450-zk/?R=20250630225213,HW-C450/ZK,"1,990","1,990",0.00%,0,"1,990",No,0,0,,,,,,,,,,,Add to Cart,"1,990.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-02,,,,inStock,SWA-9100S 無線後置喇叭,,N,SWA-9100S/ZK,https://www.samsung.com/hk/audio-devices/soundbar/swa-9100s-black-swa-9100s-zk/?R=20250630225213,SWA-9100S/ZK,990,990,0.00%,0,990,No,0,0,,,,,,,,,,,Add to Cart,990.00,,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-03,,,,Unavailable,SWA-9200S 無線後置喇叭,,EOL,SWA-9200S/ZK,https://www.samsung.com/hk/audio-accessories/swa-9200s-swa-9200s-zk/?R=20250630225213,SWA-9200S/ZK,"1,090","1,090",0.00%,0,1090,No,0,0,,,,,,,,,,,Add to Cart,"1,090.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-04,,,,OOS (Blocked),SWA-9500S 無線後置喇叭,,N,SWA-9500S/ZK,https://www.samsung.com/hk/audio-accessories/9500s-swa-9500s-zk/?R=20250630225213,SWA-9500S/ZK,"2,190","2,190",0.00%,0,2190,No,0,0,,,,,,,,,,,Add to Cart,"2,190.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-05,,,,Unavailable,Q-series Soundbar HW-Q990D,,EOL,HW-Q990D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q990d-black-hw-q990d-zk/?R=20250630225213,HW-Q990D/ZK,"9,990",,100.00%,"9,990","9,990",No,400,0,,,,,,,,,,,Add to Cart,"9,990.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,HTS-06,,,,inStock,Q-series Soundbar HW-Q930D,,N,HW-Q930D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q930d-black-hw-q930d-zk/?R=20250630225213,HW-Q930D/ZK,"7,490",,100.00%,"7,490","7,490",No,300,0,,,,,,,,,,,Add to Cart,"7,490.00",,,,,,,,ZG-SOUNDBAR1YRWAREXT,,,,ZG-SOUNDBAR1YRWAREXT,1,"
●  1 x  Free 1-year Warranty Extension Offer (designated Soundbar models) [ZG-SOUNDBAR1YRWAREXT]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-07,,,,Unavailable,Q-series Soundbar HW-Q800D,,UN,HW-Q800D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q800d-black-hw-q800d-zk/?R=20250630225213,HW-Q800D/ZK,"4,790",,100.00%,"4,790","4,790",No,0,0,,,,,,,,,,,Add to Cart,"4,790.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-08,,,,Unavailable,Q-series Soundbar HW-Q700D,,EOL,HW-Q700D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q700d-black-hw-q700d-zk/?R=20250630225213,HW-Q700D/ZK,"3,990",,100.00%,"3,990","3,990",No,200,0,,,,,,,,,,,Add to Cart,"3,990.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-09,,,,inStock,B-Series HW-B550 2.1ch Soundbar,,N,HW-B650D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/b650d-black-hw-b650d-zk/?R=20250630225213,HW-B650D/ZK,"2,090","1,890",9.57%,200,"1,890",No,0,0,,,,,,,,,,,Add to Cart,"1,890.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-10,,,,inStock,S-Series HW-S800D Soundbar,,N,HW-S800D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/s800d-black-hw-s800d-zk/?R=20250630225213,HW-S800D/ZK,"4,890","3,990",18.40%,900,"3,990",No,150,0,,,,,,,,,,,Add to Cart,"3,990.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-11,,,,inStock,S-Series HW-S801D Soundbar,,N,HW-S801D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/s801d-white-hw-s801d-zk/?R=20250630225213,HW-S801D/ZK,"4,890","3,990",18.40%,900,"3,990",No,150,0,,,,,,,,,,,Add to Cart,"3,990.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-12,,,,inStock,S-Series HW-S700D Soundbar,,N,HW-S700D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/s700d-black-hw-s700d-zk/?R=20250630225213,HW-S700D/ZK,"3,490","2,990",14.33%,500,"2,990",No,100,0,,,,,,,,,,,Add to Cart,"2,990.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-13,,,,inStock,S-Series HW-S701D Soundbar,,N,HW-S701D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/s701d-white-hw-s701d-zk/?R=20250630225213,HW-S701D/ZK,"3,490","2,990",14.33%,500,"2,990",No,100,0,,,,,,,,,,,Add to Cart,"2,990.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-14,,,,Unavailable,S-Series HW-S60D Soundbar,,UN,HW-S60D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/s60d-black-hw-s60d-zk/?R=20250630225213,HW-S60D/ZK,"2,490","2,490",0.00%,0,"2,490",No,0,0,,,,,,,,,,,Add to Cart,"2,490.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,HTS-15,,,,inStock,S-Series HW-S61D Soundbar,,N,HW-S61D/ZK,https://www.samsung.com/hk/audio-devices/soundbar/s61d-white-hw-s61d-zk/?R=20250630225213,HW-S61D/ZK,"2,490","2,490",0.00%,0,"2,490",No,0,0,,,,,,,,,,,Add to Cart,"2,490.00",,,,,,,Z-SWA-9200S/ZK,,,,,Z-SWA-9200S/ZK,1,"
●  1 x  SWA-9200S Wireless Rear Speaker [Z-SWA-9200S/ZK]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS-16,,,,inStock,S-Series HW-LS60D Music Frame,,N,HW-LS60D/ZK,https://www.samsung.com/hk/audio-devices/music-frame/ls60d-black-hw-ls60d-zk/?R=20250630225213,HW-LS60D/ZK,"3,890","3,680",5.40%,210,"3,680",No,100,0,,,,,,,,,,,Add to Cart,"3,680.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25,,,,,,,-,,,,0,0,0.00%,0,0,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-01,,,,inStock,Q-series Soundbar HW-Q800F,,N,HW-Q800F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q800f-black-hw-q800f-zk/?R=20250630225213,HW-Q800F/ZK,"5,980","5,980",0.00%,0,"5,980",No,0,0,,,,,,,,,,,Add to Cart,"5,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-02,,,,Unavailable,Q-series Soundbar HW-Q930F,,UN,HW-Q930F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q930f-black-hw-q930f-zk/?R=20250630225213,HW-Q930F/ZK,"7,980","7,980",0.00%,0,"7,980",No,0,0,,,,,,,,,,,Add to Cart,"7,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-03,,,,inStock,Q-series Soundbar HW-Q990F,,N,HW-Q990F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q990f-black-hw-q990f-zk/?R=20250630225213,HW-Q990F/ZK,"10,980","10,980",0.00%,0,"10,980",No,0,0,,,,,,,,,,,Add to Cart,"10,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-04,,,,inStock,Q-Series Soundbar HW-QS700F,,N,HW-QS700F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/qs700f-black-hw-qs700f-zk/?R=20250630225213,HW-QS700F/ZK,"4,680","4,680",0.00%,0,"4,680",No,0,0,,,,,,,,,,,Add to Cart,"4,680.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-05,,,,Unavailable,HW-Q600F/ZK,,UN,HW-Q600F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/q600f-black-hw-q600f-zk/?R=20250630225213,HW-Q600F/ZK,"3,980","3,980",0.00%,0,"3,980",No,0,0,,,,,,,,,,,Add to Cart,"3,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-06,,,,Unavailable,HW-B650F/ZK,,UN,HW-B650F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/b650f-black-hw-b650f-zk/?R=20250630225213,HW-B650F/ZK,"2,380","2,380",0.00%,0,"2,380",No,0,0,,,,,,,,,,,Add to Cart,"2,380.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
